file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,103,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,104,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,11
style.css,105,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,47
style.css,106,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,77
style.css,107,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,61
style.css,108,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,109,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,110,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,10
style.css,111,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,14
style.css,112,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,54
style.css,113,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,114,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,115,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,12
style.css,116,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,68
style.css,117,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,118,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,119,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,10
style.css,120,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,38
style.css,121,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,82
style.css,122,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,41
style.css,123,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,51
style.css,124,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,125,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,126,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,18
style.css,127,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,49
style.css,128,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,59
style.css,129,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,48
style.css,130,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,48
style.css,131,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,50
style.css,132,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,68
style.css,133,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,52
style.css,134,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,135,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
style.css,136,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,21
style.css,137,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,58
style.css,138,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,42
style.css,139,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,0
